# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 9.935852482348496,3.1454941529450915,4.422288063099716,179.12878781714997,-2.845625623248518,-3.0000000000002225,-0.01627514758053547,179.30391366432852,2.6597387955524394,-1.143965777646823
 9.943803487135446,3.1682120630558632,4.421950985777026,179.14993541304543,-2.869478637609369,-3.0000000000001674,-0.016507624494725752,179.29481798695434,2.7203935218665927,-1.1543037658678104
 9.951716909558474,3.1910110090589123,4.42162127412178,179.17146303614084,-2.893218904878455,-3.0000000000001124,-0.016744000560545903,179.28568349365054,2.7822275550068336,-1.164573407821514
 9.959592640473705,3.2138879960717657,4.421299184668261,179.193375111709,-2.9168460976241484,-3.000000000000113,-0.01698450970303631,179.2765116268595,2.8452913013821433,-1.1747735074919328
 9.967430569977132,3.2368400292119492,4.420984973950755,179.21567630434595,-2.940359886134431,-3.000000000000057,-0.01722938790083985,179.2673038349253,2.9096365252554133,-1.1849028746094667
 9.975230587394899,3.25986411359699,4.420678898503546,179.23837151992234,-2.9637599383877298,-2.999999999999943,-0.017478872975874502,179.25806157186497,2.975316451935497,-1.1949603247428806
 9.982992581273534,3.2829572543444128,4.420381214860916,179.26146590800926,-2.987045920023635,-3.0000000000000573,-0.017733205836355643,179.2487862971391,3.0423858663134364,-1.2049446794141692
 9.990716439370152,3.3061164565717442,4.420092179557151,179.2849648647158,-3.01021749431349,-3.000000000000115,-0.01799263022546477,179.23947947542104,3.110901211642538,-1.214854766131287
 9.9984020486426,3.3293387253965108,4.419812049126534,179.30887403591365,-3.0332743221308336,-2.9999999999999423,-0.018257394349440285,179.23014257636578,3.1809207041995875,-1.224689418476324
 10.006049295239546,3.3526210659362388,4.41954108010335,179.333199320944,-3.056216061921673,-3.0000000000002323,-0.01852775031527456,179.22077707437802,3.252504438027441,-1.2344474762235231
 10.013658064490516,3.375960483308454,4.419279529021884,179.3579468767007,-3.079042369674583,-3.0,-0.018803955639783862,179.211384448379,3.3257145026795216,-1.2441277853267538
 10.021228240895857,3.3993539826306822,4.419027652416418,179.38312312215982,-3.1017528988906062,-2.9999999999999414,-0.019086273581074127,179.20196618157328,3.4006151037956456,-1.25372919805717
 10.028759708116642,3.422798569020451,4.418785706821237,179.40873474334455,-3.12434730055296,-2.999999999999882,-0.019374973460982176,179.19252376121437,3.4772726859143175,-1.2632505730210308
 10.03625234896449,3.446291247595285,4.418553948770624,179.43478869871012,-3.146825223096507,-3.0000000000001186,-0.019670331632402675,179.1830586783699,3.555756067254516,-1.2726907752160936
 10.043706045391325,3.4698290234727107,4.418332634798865,179.46129222500332,-3.169186312377009,-2.999999999999881,-0.01997263161893566,179.1735724276862,3.6361365699411015,-1.2820486761177559
 10.051120678479034,3.4934089017702554,4.418122021440245,179.48825284352625,-3.1914302116401356,-2.99999999999988,-0.02028216531427439,179.1640665071522,3.7184881699746954,-1.2913231536830114
 10.058496128429061,3.5170278876054444,4.417922365229045,179.51567836691368,-3.2135565614902153,-2.9999999999997593,-0.020599233156882963,179.1545424178629,3.802887643609695,-1.3005130923854697
 10.0658322745519,3.5406829860958036,4.417733922699551,179.5435769063559,-3.235564999858733,-3.0000000000001816,-0.02092414522168055,179.1450016637825,3.889414726578257,-1.309617383306755
 10.073128995256505,3.564371202358859,4.417556950386047,179.57195687932014,-3.257455161972551,-3.0000000000002434,-0.021257221341428174,179.1354457515066,3.9781522772687796,-1.3186349241058304
 10.080386168039606,3.5880895415121383,4.4173917048228155,179.60082701775374,-3.2792266803218553,-3.0000000000002447,-0.021598792408671866,179.12587619002454,4.0691864565763005,-1.3275646190510197
 10.087603669474921,3.6118350086731654,4.417238442544143,179.63019637684465,-3.300879184627803,-3.000000000000246,-0.021949200912145066,179.11629449048107,4.162606905350023,-1.3364053790824049
 10.094781375202285,3.6356046089594685,4.417097420084312,179.66007434426996,-3.322412301809892,-2.9999999999999383,-0.022308801272001563,179.10670216593755,4.258506943843335,-1.3451561217614307
 10.101919159916656,3.6593953474885725,4.416968893977608,179.69047065003977,-3.3438256559530104,-3.0000000000003735,-0.022677961092614923,179.0971007311332,4.356983772663479,-1.3538157712804526
 10.10901689735705,3.683204229378004,4.416853120758314,179.7213953768902,-3.365118868274187,-2.9999999999996247,-0.02305706214875899,179.08749170224598,4.4581386915637,-1.3623832585292233
 10.116074460295328,3.7070282597452895,4.416750356960715,179.75285897129348,-3.3862915570890255,-3.0000000000003144,-0.02344650096594904,179.07787659665286,4.5620773257471985,-1.370857520971024
 10.123091720524926,3.730864443707955,4.4166608591190935,179.78487225507578,-3.4073433377778155,-2.999999999999747,-0.02384668956437703,179.0682569326905,4.668909869832387,-1.3792375027126769
 10.130068548849428,3.754709786383526,4.416584883767734,179.8174464377002,-3.42827382275132,-2.9999999999996816,-0.024258057024965703,179.05863422941536,4.778751343654821,-1.3875221544277196
 10.137004815071066,3.7785612928895285,4.4165226874409225,179.85059312922678,-3.4490826214162325,-2.9999999999997438,-0.02468104962535649,179.04901000636383,4.891721860338737,-1.3957104333281523
 10.14390038797909,3.8024159683434906,4.416474526672943,179.88432435396055,-3.4697693401403042,-3.0000000000002576,-0.025116132979989787,179.03938578331233,5.0070310702459215,-1.4035445772480721
 10.150756389157198,3.8262708178629365,4.416440657998076,179.91865256487696,-3.489060725018874,-2.813795443934032,-0.025563792027653538,179.02976308003718,5.095657328760445,-1.4030104572590338
 10.15761283410569,3.8501228465653936,4.41642133795061,179.953590658828,-3.4684913901734014,2.9999999999998055,-0.026024533372737104,179.02014341607483,5.157059913459663,-1.3943705279878629
 10.164508494477257,3.873969059568387,4.416416823064826,179.98915199250703,-3.447804409058698,3.000000000000193,-0.02649888568909048,179.0105283104817,5.219884028717439,-1.3856415449956982
 10.171443209246704,3.8978064619894437,4.41642736987501,-179.97464960062422,-3.427000264750357,3.0000000000002562,-0.026987401304721645,179.00091928159446,5.284180859870949,-1.3768244874029967
 10.178416817642088,3.921632058946089,4.416453234915446,-179.93779979261708,-3.406079439564203,3.000000000000191,-0.027490657940846833,178.99131784679014,5.350003356303728,-1.3679203442312995
