# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.57291922293263,2.7665821665736217,-167.8843935953186,0,3.0,-772.2532819482867,180.0,0.0,0.0
 0.007566614789350439,2.5728352553366625,2.766564141556898,-167.8843935953186,0.022699844368051315,2.9999999999999996,-772.2532819482867,180.0,-1033.7260949449965,0.0
 0.012968260454227968,2.572669952166044,2.766545214742858,-173.46821567474902,0.0389047813626839,3.0,-162.6802248117005,180.0,-365.280584940476,0.0
 0.018239763035538783,2.5724239794222146,2.7665253974271518,-175.39379322116545,0.054719289106616345,2.9999999999999996,-59.25154161827022,180.0,-186.39688820241497,0.0
 0.023461544540441446,2.5720980031066167,2.7665047009054273,-176.36711704455223,0.07038463362132434,3.0000000000000013,-27.9898570428518,180.0,-113.12681283921344,0.0
 0.02865371702327883,2.5716926892206904,2.7664831364733353,-176.9544909692471,0.08596115106983648,2.9999999999999987,-15.41203642206224,180.0,-76.04150174671949,0.0
 0.033823638308040097,2.5712087037658784,2.7664607154265237,-177.34761954765267,0.10147091492412029,3.000000000000001,-9.391813603527352,180.0,-54.68781921503372,0.0
 0.03897460875270372,2.5706467127436214,2.7664374490606427,-177.62931488811242,0.11692382625811115,2.9999999999999987,-6.151449710539754,180.0,-41.270231218663014,-5.536297001554219e-12
 0.044108312638608885,2.57000738215536,2.766413348671341,-177.8411840344919,0.13232493791582664,2.9999999999999987,-4.252802274284464,179.99999999999997,-32.288775290349676,5.55396135205314e-12
 0.04922568880110186,2.569291378002536,2.766388425554269,-178.0064178434788,0.14767706640330558,3.0000000000000013,-3.0663563535901397,180.0,-25.981222980553632,0.0
 0.05432729427121885,2.568499366286592,2.766362691005075,-178.1389637927567,0.16298188281365655,3.0000000000000013,-2.286534678359372,180.0,-21.381404179796508,0.0
 0.05941347445877404,2.5676320130089674,2.766336156319409,-178.2477134670781,0.17824042337632212,3.0,-1.7526617540381426,180.0,-17.923466933658975,0.0
 0.06448444998397969,2.5666899841711044,2.7663088327929195,-178.33860292922552,0.19345334995193905,2.9999999999999973,-1.3746908692403503,180.0,-15.258071309559726,0.0
 0.06954036410378892,2.5656739457744444,2.766280731721256,-178.4157464274006,0.20862109231136672,2.9999999999999973,-1.0994581660565432,180.0,-13.160037847750264,-5.638169806037078e-12
 0.07458131008593571,2.564584563820429,2.766251864400069,-178.48208546731408,0.2237439302578071,2.9999999999999947,-0.8941825702157151,179.99999999999997,-11.478901618669603,5.654893842756413e-12
 0.07960734774830679,2.5634225043104983,2.7662222421250062,-178.5397788591722,0.2388220432449203,2.9999999999999973,-0.7378942175625948,180.0,-10.11101007942413,0.0
 0.08461851384463136,2.5621884332460945,2.7661918761917175,-178.5904468100818,0.253855541533894,3.0,-0.6167489641564562,180.0,-8.983065822628042,0.0
 0.08961482880448059,2.5608830166286594,2.766160777895853,-178.6353290362367,0.26884448641344166,2.9999999999999942,-0.5213534357415579,180.0,-8.042046275715869,0.0
 0.09459630123373067,2.5595069204596332,2.766128958533061,-178.67539026803394,0.2837889037011919,3.0000000000000027,-0.4451794928811915,180.0,-7.248824459715228,5.7225343531772895e-12
 0.0995629309953543,2.558060810740458,2.766096429398991,-178.71139249533235,0.2986887929860628,2.9999999999999973,-0.38359313124203825,180.00000000000003,-6.574015051869406,-5.739695080909734e-12
 0.10451471136517479,2.556545353472575,2.7660632017892928,-178.7439455740171,0.3135441340955243,3.0000000000000027,-0.3332422964166454,180.0,-5.995200701536814,0.0
 0.1094516305699637,2.554961214657425,2.7660292869996153,-178.7735433954971,0.328354891709891,3.0000000000000027,-0.2916609419351514,180.0,-5.495038197410289,0.0
 0.11437367290410891,2.55330906029645,2.7659946963256075,-178.80059020613248,0.34312101871232664,2.9999999999999973,-0.2570070134608641,180.0,-5.059939262669528,0.0
 0.11928081955308344,2.5515895563910913,2.7659594410629196,-178.8254200701293,0.35784245865925024,3.0000000000000027,-0.22788546137336657,180.0,-4.6791349390619965,-5.809561575713654e-12
 0.12417304920931402,2.54980336894279,2.7659235325072005,-178.84831147284368,0.372519147627942,3.0000000000000084,-0.2032264220710678,179.99999999999997,-4.344001276586816,5.827357679842483e-12
 0.12905033853869877,2.547951163952987,2.7658869819540994,-178.86949842391684,0.3871510156160963,3.0,-0.18219995044601686,180.0,-4.047565954696222,5.845293204200086e-12
 0.13391266253811454,2.5460336074231242,2.765849800699266,-178.88917900099753,0.40173798761434365,3.0000000000000115,-0.16415540608423335,180.00000000000003,-3.7841425041400405,0.0
 0.1387599948122968,2.5440513653546426,2.7658120000383484,-178.90752199708797,0.41627998443689046,3.0,-0.14857774539463584,180.00000000000003,-3.549055712553312,-5.881595327025195e-12
 0.14359230779034374,2.5420051037489837,2.765773591266997,-178.92467214506758,0.43077692337103124,3.0,-0.1350555979628591,180.0,-3.3384330935898503,0.0
 0.1484095728965108,2.539895488607589,2.7657345856808613,-178.9407542623186,0.4452287186895324,2.9999999999999942,-0.12325764710970857,180.0,-3.1490449067996664,0.0
 0.15321176068602904,2.5377231859319,2.7656949945755898,-178.95587656731865,0.4596352820580871,3.0,-0.1129150023237817,180.0,-2.9781802177803143,0.0
 0.15799884095390124,2.5354888617233566,2.7656548292468326,-178.9701333550734,0.47399652286170374,3.0000000000000058,-0.10380784165377406,180.0,-2.823549916166633,0.0
